62779,SF Third Street Shell,551 03rd St,San Francisco,CA,94107,37.780739,-122.395015,POINT (-122.395015 37.780739),,62779_20170823,2017 Aug 23 12:00:00 AM,,Reinspection/Followup,,,
97157,COW MARLOWE,3154 FILLMORE St,San Francisco,CA,94123,,,,14150907570,97157_20181109,2018 Nov 09 12:00:00 AM,,New Ownership,,,
67565,King of Thai Noodles Cafe,1541 TARAVAL St,San Francisco,CA,94116,37.742703,-122.482819,POINT (-122.482819 37.742703),,67565_20161220,2016 Dec 20 12:00:00 AM,,Reinspection/Followup,,,
38564,Chili Lemon Garlic,518 Bryant St,San Francisco,CA,94107,37.780914,-122.396389,POINT (-122.396389 37.780914),,38564_20170216,2017 Feb 16 12:00:00 AM,,Non-inspection site visit,,,
101162,Tony's Pizza South 200,1 1 Warriors Way Level 300 West,San Francisco,CA,94158,,,,,101162_20190812,2019 Aug 12 12:00:00 AM,,New Ownership - Followup,,,
94726,The Sausage Factory,517 Castro St,San Francisco,CA,94114,,,,,94726_20180403,2018 Apr 03 12:00:00 AM,87,Routine - Unscheduled,94726_20180403_103161,Low risk vermin infestation,Low Risk
94412,Native Baking Company,1324 Fitzgerald Ave,San Francisco,CA,94124,,,,,94412_20180731,2018 Jul 31 12:00:00 AM,98,Routine - Unscheduled,94412_20180731_103142,Unclean nonfood contact surfaces,Low Risk
79296,Puccini & Pinetti,129 Ellis St,San Francisco,CA,94102,,,,,79296_20170726,2017 Jul 26 12:00:00 AM,,New Construction,,,
89324,August1Five,524 Van Ness Ave,San Francisco,CA,94102,,,,,89324_20161107,2016 Nov 07 12:00:00 AM,,New Ownership,,,
94843,Pine Tar Grill and Bar,917 Folsom St,San Francisco,CA,94901,,,,,94843_20180629,2018 Jun 29 12:00:00 AM,92,Routine - Unscheduled,94843_20180629_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
4449,Universal Bakery Inc.,3458 MISSION St,San Francisco,CA,94110,37.741317,-122.422687,POINT (-122.422687 37.741317),,4449_20190308,2019 Mar 08 12:00:00 AM,,Reinspection/Followup,,,
3394,The Keystone,68 04th St,San Francisco,CA,94103,37.784915,-122.404832,POINT (-122.404832 37.784915),14155984400,3394_20180518,2018 May 18 12:00:00 AM,,Reinspection/Followup,,,
100362,BON APPETIKKA,4166 24TH ST,San Francisco,CA,94114,,,,14155647736,100362_20190606,2019 Jun 06 12:00:00 AM,96,Routine - Unscheduled,100362_20190606_103131,Moderate risk vermin infestation,Moderate Risk
94502,New Fortune Restaurant,811 Stockton St,San Francisco,CA,94108,,,,,94502_20190920,2019 Sep 20 12:00:00 AM,,Reinspection/Followup,,,
94616,Mr. Bread,1018 Taraval St,San Francisco,CA,94116,,,,,94616_20190819,2019 Aug 19 12:00:00 AM,90,Routine - Unscheduled,94616_20190819_103131,Moderate risk vermin infestation,Moderate Risk
95858,STONE KOREAN KITCHEN,4 Embarcadero Center  Street Level,San Francisco,CA,94111,,,,,95858_20190318,2019 Mar 18 12:00:00 AM,75,Routine - Unscheduled,95858_20190318_103142,Unclean nonfood contact surfaces,Low Risk
5017,COLLEGE MARKET,995 ELLIS St,San Francisco,CA,94109,37.783613,-122.422397,POINT (-122.422397 37.783613),,5017_20170302,2017 Mar 02 12:00:00 AM,,Reinspection/Followup,,,
5800,John Chin Elementary School,350 Broadway St,San Francisco,CA,94133,37.798358,-122.403154,POINT (-122.403154 37.798358),,5800_20190225,2019 Feb 25 12:00:00 AM,100,Routine - Unscheduled,,,
99507,SLICES,330 TOWNSEND ST 101,San Francisco,CA,94107,,,,14155768667,99507_20190215,2019 Feb 15 12:00:00 AM,98,Routine - Unscheduled,99507_20190215_103144,Unapproved or unmaintained equipment or utensils,Low Risk
94635,94635 Employee Training Room,24 Willie Mays Pl Room 999,San Francisco,CA,94107,,,,,94635_20180911,2018 Sep 11 12:00:00 AM,96,Routine - Unscheduled,94635_20180911_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
3615,TARTINE BAKERY,0600 GUERRERO St,San Francisco,CA,94110,37.761531,-122.423862,POINT (-122.423862 37.761531),14155482600,3615_20190306,2019 Mar 06 12:00:00 AM,,Non-inspection site visit,,,
89070,Lafayette Coffee Shop,611 Larkin St,San Francisco,CA,94109,,,,14155444884,89070_20180109,2018 Jan 09 12:00:00 AM,,Non-inspection site visit,,,
70434,Burrito Loco,850 ULLOA St,San Francisco,CA,94127,37.740944,-122.46573,POINT (-122.46573 37.740944),14155664677,70434_20180202,2018 Feb 02 12:00:00 AM,,Reinspection/Followup,,,
98890,MISSION PICNIC,983 VALENCIA ST,San Francisco,CA,94110,,,,14155320120,98890_20181214,2018 Dec 14 12:00:00 AM,,New Ownership,,,
99783,CAFECITO,406 ELLIS St,San Francisco,CA,94102,,,,,99783_20190405,2019 Apr 05 12:00:00 AM,,New Ownership,,,
86138,Baladie Cafe,337 Kearny St,San Francisco,CA,94108,,,,,86138_20190405,2019 Apr 05 12:00:00 AM,,Reinspection/Followup,,,
95194,95194 Doggie Diner Cart,"24 Willie Mays Pl View Lvl, Sect 331",San Francisco,CA,94107,,,,,95194_20190412,2019 Apr 12 12:00:00 AM,100,Routine - Unscheduled,,,
101478,The Detour,2200 MARKET ST A,San Francisco,CA,94114,,,,14158228283,101478_20190621,2019 Jun 21 12:00:00 AM,,New Construction,,,
90272,"Eclectic Cookery, Inc",103 Horne Ave.,San Francisco,CA,94124,,,,,90272_20190904,2019 Sep 04 12:00:00 AM,,Reinspection/Followup,,,
92318,Zutuhil Azteca,601 Mission Bay Blvd,San Francisco,CA,94158,,,,14155718125,92318_20170808,2017 Aug 08 12:00:00 AM,,Structural Inspection,,,
82218,Tacorgasmico,2337 Market St,San Francisco,CA,94114,,,,14155867571,82218_20170610,2017 Jun 10 12:00:00 AM,,Complaint Reinspection/Followup,,,
6966,M.P. Seafood Market,848 Jackson St,San Francisco,CA,94133,37.795786,-122.409065,POINT (-122.409065 37.795786),,6966_20190422,2019 Apr 22 12:00:00 AM,,Reinspection/Followup,,,
72171,John's Grill,63 Ellis St,San Francisco,CA,94102,,,,,72171_20190729,2019 Jul 29 12:00:00 AM,,Reinspection/Followup,,,
93245,TS Cafe,4754 Mission St.,San Francisco,CA,94112,,,,,93245_20180813,2018 Aug 13 12:00:00 AM,,Non-inspection site visit,,,
97313,TOSAI,3251 20th Ave 159,San Francisco,CA,94132,,,,14150641863,97313_20190610,2019 Jun 10 12:00:00 AM,87,Routine - Unscheduled,97313_20190610_103103,High risk food holding temperature,High Risk
97277,OYE MANAGUA,3385 Mission St,San Francisco,CA,94110,,,,,97277_20180816,2018 Aug 16 12:00:00 AM,85,Routine - Unscheduled,97277_20180816_103131,Moderate risk vermin infestation,Moderate Risk
81651,Slurp Noodle Bar,469 Castro St,San Francisco,CA,94114,,,,14155556633,81651_20180515,2018 May 15 12:00:00 AM,,Reinspection/Followup,,,
32872,Matador,679 Sutter St,San Francisco,CA,94102,37.788823,-122.411507,POINT (-122.411507 37.788823),,32872_20170608,2017 Jun 08 12:00:00 AM,,Structural Inspection,,,
87613,Tommy's Joynt,1101 Geary Blvd,San Francisco,CA,94109,,,,,87613_20190529,2019 May 29 12:00:00 AM,,Complaint,,,
90511,Pink Onion,64 14th St,San Francisco,CA,94103,,,,,90511_20170224,2017 Feb 24 12:00:00 AM,,New Ownership,,,
98084,MARKET STREET GRILL,1231 Market St,San Francisco,CA,94103,,,,,98084_20190322,2019 Mar 22 12:00:00 AM,,New Ownership - Followup,,,
5958,ST. THOMAS THE APOSTLE,3801 BALBOA St,San Francisco,CA,94121,37.775573,-122.499709,POINT (-122.499709 37.775573),14155263257,5958_20170516,2017 May 16 12:00:00 AM,,Non-inspection site visit,,,
87556,Genji,1765 California St,San Francisco,CA,94109,,,,,87556_20180622,2018 Jun 22 12:00:00 AM,100,Routine - Unscheduled,,,
86561,The Crepe House,1132 Valencia St,San Francisco,CA,94110,,,,14155282423,86561_20180816,2018 Aug 16 12:00:00 AM,,Reinspection/Followup,,,
65677,Eleven O One,1101 Polk St,San Francisco,CA,94109,37.787074,-122.419984,POINT (-122.419984 37.787074),,65677_20171211,2017 Dec 11 12:00:00 AM,,Reinspection/Followup,,,
94910,Ike's Kitchen,800 Van Ness Ave,San Francisco,CA,94109,,,,,94910_20180824,2018 Aug 24 12:00:00 AM,77,Routine - Unscheduled,94910_20180824_103133,Foods not protected from contamination,Moderate Risk
4558,KING'S BAKERY,2846 MISSION St,San Francisco,CA,94110,37.751356,-122.418414,POINT (-122.418414 37.751356),14155284550,4558_20170602,2017 Jun 02 12:00:00 AM,,Complaint,,,
102214,Plaza Cart #3 Coffee,1 Warriors Way Plaza Level North East,San Francisco,CA,94158,,,,,102214_20190905,2019 Sep 05 12:00:00 AM,,New Ownership,,,
97536,ADDA CLEVENGER JUNIOR PREP,180 Fair Oaks St,San Francisco,CA,94110,,,,14155822240,97536_20181030,2018 Oct 30 12:00:00 AM,,New Ownership,,,
71286,21 Taste House,1109 Ocean Ave,San Francisco,CA,94112,37.723461,-122.454226,POINT (-122.454226 37.723461),14155932233,71286_20190528,2019 May 28 12:00:00 AM,,Complaint,,,
98985,POMELO ON CHURCH,1793 CHURCH ST,San Francisco,CA,94131,,,,14155412442,98985_20181027,2018 Oct 27 12:00:00 AM,90,Routine - Unscheduled,98985_20181027_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
97802,"SQUARE, INC.",1455 Market St Ste 600,San Francisco,CA,94103,,,,,97802_20190722,2019 Jul 22 12:00:00 AM,92,Routine - Unscheduled,97802_20190722_103143,Inadequate warewashing facilities or equipment,Low Risk
5792,KEY ELEMENTARY SCHOOL,1530 43rd Ave,San Francisco,CA,94112,37.758108,-122.502465,POINT (-122.502465 37.758108),,5792_20190307,2019 Mar 07 12:00:00 AM,100,Routine - Unscheduled,,,
7636,LEE'S FOOD MARKET,1397 Revere Ave,San Francisco,CA,94124,37.729455,-122.386364,POINT (-122.386364 37.729455),14155822818,7636_20181106,2018 Nov 06 12:00:00 AM,,Reinspection/Followup,,,
83746,The Lord George,555 02nd St,San Francisco,CA,94107,,,,,83746_20170322,2017 Mar 22 12:00:00 AM,,Reinspection/Followup,,,
98222,THE PAWN SHOP,993 MISSION ST,San Francisco,CA,94103,,,,14155278150,98222_20190920,2019 Sep 20 12:00:00 AM,86,Routine - Unscheduled,98222_20190920_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
5903,Yick Wo Elementary School,2245 Jones St,San Francisco,CA,94109,37.801964,-122.416254,POINT (-122.416254 37.801964),,5903_20170208,2017 Feb 08 12:00:00 AM,100,Routine - Unscheduled,,,
62769,Loving Hut Vegan Cuisine,845 Market St FE12,San Francisco,CA,94103,37.784848,-122.406892,POINT (-122.406892 37.784848),,62769_20191001,2019 Oct 01 12:00:00 AM,,Reinspection/Followup,,,
81116,Dragon Beaux,5700 Geary Blvd,San Francisco,CA,94121,,,,14155338899,81116_20170807,2017 Aug 07 12:00:00 AM,,Reinspection/Followup,,,
69397,Minna SF Group LLC,142 Minna St,San Francisco,CA,94105,,,,,69397_20170210,2017 Feb 10 12:00:00 AM,,Reinspection/Followup,,,
5866,KING ELEMENTARY SCHOOL,1215 CAROLINA St,San Francisco,CA,94107,37.753196,-122.39939,POINT (-122.39939 37.753196),14155695797,5866_20190416,2019 Apr 16 12:00:00 AM,100,Routine - Unscheduled,,,
34221,"Campton Place SF, A Taj Hotel-Restaurant",340 Stockton St,San Francisco,CA,94108,37.789128,-122.406847,POINT (-122.406847 37.789128),,34221_20190830,2019 Aug 30 12:00:00 AM,,Reinspection/Followup,,,
101389,HOMAGE,214 CALIFORNIA ST,San Francisco,CA,94111,,,,14154878161,101389_20190725,2019 Jul 25 12:00:00 AM,92,Routine - Unscheduled,101389_20190725_103133,Foods not protected from contamination,Moderate Risk
89569,Blue Bottle Coffee,2 South Park,San Francisco,CA,94107,,,,,89569_20161101,2016 Nov 01 12:00:00 AM,,New Construction,,,
88862,Piece of Heaven,1380 Sutter St,San Francisco,CA,94109,,,,,88862_20170105,2017 Jan 05 12:00:00 AM,,Reinspection/Followup,,,
